 TaskID ,TaskName,TaskDescription,Date,EstimatedHours,ActualHours,Completed,Priority,TeamLeader,AmountPLN
74,Support,Assign task E,6/10/2002,48,13,false,minimal,Clifford Coldbath,605
75,Legal,Submit task C,3/19/2019,37,12,false,critical,Eartha Fache,3164
76,Training,Complete task A,2/5/2003,49,16,false,urgent,Sibyl Andriulis,2184
77,Human Resources,Update task D,9/24/2021,28,12,true,urgent,Vivia Baal,1235
78,Training,Assign task E,7/6/2001,46,10,false,essential,Gwenette Laminman,1224
79,Marketing,Submit task C,7/19/2009,39,12,true,normal,Conant Traut,3118
80,Marketing,Update task D,11/10/2017,34,12,true,moderate,Rosy Fancutt,2556
81,Sales,Complete task A,6/9/2006,16,7,true,medium,Fred Coomer,3983
82,Product Management,Review task B,8/17/2008,20,11,false,low,Stace Spire,2362
83,Accounting,Review task B,1/7/2011,44,10,true,high,Essy Aldgate,3958
84,Legal,Submit task C,8/1/2013,23,10,true,normal,Fritz Pigeram,2360
85,Research and Development,Assign task E,8/1/2014,19,5,true,moderate,Madlen Lyles,797
86,Services,Update task D,9/5/2002,23,10,false,moderate,Vaughn Halworth,1339
87,Training,Review task B,3/6/2019,31,9,false,moderate,Harmon Pipping,3694
88,Marketing,Complete task A,5/11/2014,25,6,false,high,Garland Bessom,1381
89,Human Resources,Review task B,5/28/2012,39,11,false,high,Ed Abad,2099
90,Sales,Submit task C,2/20/2015,8,7,true,normal,Jimmy Gemeau,679
91,Services,Complete task A,6/2/2017,13,6,false,high,Solly Smallthwaite,1781
92,Engineering,Review task B,11/22/2011,22,14,false,medium,Simone Kinsley,1429
93,Research and Development,Submit task C,4/10/2021,17,9,false,critical,Emilio Hegdonne,525
94,Accounting,Assign task E,10/12/2007,34,15,false,medium,Orson Eley,2331
95,Marketing,Submit task C,11/5/2001,50,16,false,maximum,Lorna Sharp,3514
96,Legal,Update task D,4/8/2001,34,14,false,low,Irena Cohane,551
97,Training,Review task B,2/27/2008,18,15,false,essential,Ernst Aukland,2593
98,Sales,Complete task A,9/8/2007,44,5,true,maximum,Elyn Coslett,3880
99,Support,Complete task A,2/7/2005,17,12,true,urgent,Parsifal Riggs,2797
100,Research and Development,Assign task E,8/28/2012,15,9,true,moderate,Vivie Wilcott,3726
101,Marketing,Complete task A,6/24/2009,13,11,true,moderate,Joleen Rillett,2790
102,Product Management,Update task D,5/27/2005,42,13,true,normal,Carmon Stitle,3056
103,Research and Development,Complete task A,8/15/2001,39,9,false,low,Mab Vise,1647
104,Human Resources,Complete task A,4/6/2015,20,5,true,minimal,Melicent Berrington,2384
105,Accounting,Update task D,10/29/2001,47,15,false,critical,Candida Circuit,3146
106,Accounting,Submit task C,1/15/2022,32,15,true,normal,Guthry Compton,3311
107,Support,Submit task C,4/28/2022,50,5,false,urgent,Aida Fleming,2538
108,Product Management,Review task B,3/21/2005,8,15,true,maximum,Mathew McDaid,3295
109,Training,Submit task C,9/29/2019,47,8,false,normal,Janenna Elington,1040
110,Training,Review task B,4/21/2017,25,10,false,normal,Ashbey Swatridge,2437
111,Training,Review task B,10/29/2010,44,11,true,critical,Denys Heinzel,2831
112,Product Management,Submit task C,11/22/2008,22,9,false,minimal,Brannon Randals,3844
113,Human Resources,Review task B,4/25/2000,44,17,true,moderate,Lock Binding,2907
114,Human Resources,Review task B,11/6/2007,15,9,true,critical,Bryan Fugere,685
115,Engineering,Assign task E,6/15/2003,48,7,false,high,Randi Kleinberer,2186
116,Support,Update task D,12/30/2004,15,5,false,low,Matthus Bjorkan,2873
117,Engineering,Review task B,5/15/2022,9,16,true,low,Alexandro Leefe,2747
118,Business Development,Submit task C,8/22/2016,20,15,false,minimal,Renaldo Aspel,728
119,Marketing,Complete task A,8/10/2013,8,11,true,moderate,Adrian Binch,3236
120,Research and Development,Assign task E,1/6/2008,49,14,false,urgent,Rodie Springtorp,3267
121,Human Resources,Update task D,10/20/2012,36,10,false,normal,Joscelin Farrow,2186
122,Legal,Submit task C,11/16/2013,22,8,false,maximum,Alikee Aleksandrikin,3017
123,Marketing,Assign task E,3/20/2006,44,12,false,low,Sheri Grieswood,3856
124,Training,Update task D,9/26/2011,41,15,false,low,Glenna Stickley,1650
125,Legal,Submit task C,9/23/2005,40,17,false,minimal,Angelico Hodgins,3306
126,Research and Development,Submit task C,9/12/2011,38,13,true,critical,Edy Klugman,3517
127,Sales,Submit task C,10/9/2003,8,8,true,essential,Aldis Pawlowicz,3546
128,Support,Complete task A,6/23/2017,33,9,false,maximum,Gwendolyn Oleshunin,3551
129,Sales,Review task B,7/31/2015,44,5,true,moderate,Rafferty Batchelor,1094
130,Product Management,Submit task C,6/19/2013,19,9,true,normal,Burlie Edgeworth,2191
131,Marketing,Submit task C,11/28/2010,48,15,false,high,Gaby Lassetter,2939
132,Product Management,Update task D,6/10/2017,24,11,false,minimal,Fayre Packington,771
133,Legal,Review task B,2/21/2014,41,7,false,medium,Sophi Blackmore,759
134,Research and Development,Review task B,6/19/2006,9,6,true,medium,Beau Gerty,910
135,Support,Assign task E,8/28/2008,29,10,true,low,Basilio Rivard,2334
136,Training,Review task B,3/30/2003,33,8,true,minimal,Bibbye Klimke,3389
137,Engineering,Complete task A,8/14/2002,25,10,false,low,Cassie Pawlata,2464
138,Marketing,Complete task A,2/21/2010,23,14,true,essential,Tammi Chomley,3873
139,Business Development,Update task D,8/7/2006,27,15,true,high,Berni Wattam,2181
140,Training,Update task D,10/6/2015,20,8,false,normal,Suellen Sinnatt,1647
141,Legal,Submit task C,3/26/2000,26,15,true,normal,Dominick O'Rodane,2809
142,Research and Development,Complete task A,4/19/2020,32,10,false,medium,Elvina Pinnell,2927
143,Legal,Update task D,5/17/2015,29,11,false,critical,Nobie Tilby,927
144,Product Management,Complete task A,9/4/2004,19,17,true,minimal,Nancey Nethercott,2532
145,Marketing,Assign task E,7/22/2001,18,14,true,minimal,Radcliffe Colerick,2089
146,Marketing,Update task D,10/5/2022,43,10,true,low,Ann-marie Firmager,3370
147,Services,Update task D,3/9/2004,30,5,false,minimal,Shelley Stede,3438
148,Research and Development,Complete task A,8/14/2010,23,10,false,high,Kori Gunson,2401
149,Training,Update task D,8/30/2009,30,16,false,urgent,Maria Cowope,1773
150,Human Resources,Update task D,6/23/2002,20,13,false,normal,Ephrayim Santoro,1635
151,Research and Development,Assign task E,10/5/2020,33,14,true,normal,Tam Thalmann,3621
152,Legal,Review task B,11/18/2017,37,6,false,maximum,Christabella Craft,3443
153,Research and Development,Complete task A,11/22/2000,39,17,false,low,Marty Sutherland,1818
154,Research and Development,Submit task C,10/24/2020,16,9,true,moderate,Katerine Donet,3616
155,Human Resources,Assign task E,1/1/2004,10,13,true,medium,Atlanta Jensen,1159
156,Engineering,Review task B,11/19/2004,41,15,true,normal,Lil Ornells,584
157,Engineering,Update task D,4/13/2020,22,10,true,high,Vale Gaine,2167
158,Product Management,Update task D,7/7/2000,13,5,false,normal,Niki Savins,1665
159,Research and Development,Update task D,8/22/2021,32,16,false,normal,Ingra Bridgen,3125
160,Training,Complete task A,6/27/2012,33,13,false,maximum,Faith Bernholt,3171
161,Legal,Complete task A,6/27/2000,49,15,false,critical,Dulcia Marrington,1021
162,Human Resources,Update task D,8/16/2021,41,12,true,medium,Win Kildale,1145
163,Accounting,Assign task E,7/15/2020,32,12,false,urgent,Cherrita Antonioni,1763
164,Sales,Assign task E,11/17/2013,46,10,false,medium,Mora Gillions,583
165,Product Management,Update task D,5/18/2006,21,10,true,moderate,Birgit De Carteret,1172
166,Legal,Update task D,8/31/2020,40,7,true,critical,Ker Stockley,2835
167,Engineering,Complete task A,4/19/2021,32,16,false,normal,Hilliard Etheridge,2124
168,Sales,Complete task A,1/1/2021,23,10,true,maximum,Olav Chrstine,3300
169,Product Management,Complete task A,1/21/2004,26,15,true,minimal,Davida Ziehm,821
170,Support,Update task D,5/12/2009,37,10,false,urgent,Lin Dicken,2420
171,Research and Development,Assign task E,7/9/2012,19,14,true,low,Danica Megroff,3718
172,Services,Assign task E,7/3/2017,49,8,true,low,Kerry Knoble,770
173,Research and Development,Update task D,1/20/2019,22,17,false,urgent,Mart Broun,1221
174,Sales,Update task D,9/17/2003,10,7,false,low,Derwin Larret,1372
175,Services,Review task B,2/11/2016,16,17,true,maximum,Terrye Troake,1781
176,Support,Submit task C,12/26/2002,14,7,false,minimal,Hector Allsupp,3942
177,Legal,Submit task C,8/20/2021,9,7,true,urgent,Zacharias Grenkov,1811
178,Human Resources,Complete task A,9/5/2019,34,9,false,maximum,Franklyn Schwier,660
179,Human Resources,Assign task E,8/6/2003,23,8,false,low,Page Orriss,1939
180,Business Development,Submit task C,6/21/2016,15,16,false,high,Lucia Morant,2649
181,Business Development,Assign task E,9/28/2014,19,12,false,low,Roley Spenceley,2894
182,Services,Assign task E,12/25/2011,43,13,true,maximum,Sutton Shew,2141
183,Engineering,Submit task C,4/20/2001,28,13,false,low,Idette Dudmesh,3392
184,Accounting,Assign task E,10/22/2007,49,5,false,normal,Julie Joselovitch,862
185,Marketing,Assign task E,6/30/2021,9,8,true,moderate,Agnes Moncrieffe,603
186,Accounting,Review task B,1/30/2011,26,5,false,low,Sue Leneham,661
187,Marketing,Complete task A,7/8/2017,19,14,true,minimal,Hewe MacDonald,3678
188,Research and Development,Update task D,5/17/2010,45,10,false,essential,Lanny Windley,1811
189,Marketing,Update task D,3/9/2019,48,9,true,medium,Brianne Whye,3748
190,Training,Submit task C,4/12/2004,35,9,true,normal,Kris Slyman,2955
191,Training,Complete task A,7/26/2004,34,9,true,urgent,Ginelle Nix,630
192,Accounting,Complete task A,7/28/2010,29,17,true,high,Laural Doodney,2084
193,Product Management,Review task B,1/19/2016,33,12,true,moderate,Anissa Goadsby,2628
194,Human Resources,Assign task E,9/22/2022,22,17,false,minimal,Marietta Bentley,2332
195,Legal,Submit task C,10/12/2004,29,8,true,high,Pierrette Slinn,1978
196,Engineering,Review task B,1/2/2014,12,9,true,high,Immanuel Craney,1223
197,Human Resources,Assign task E,6/11/2017,36,15,true,maximum,Domingo Dannehl,2311
198,Services,Assign task E,7/22/2005,11,16,false,medium,Morey Houseman,1095
199,Training,Complete task A,4/7/2011,40,6,true,medium,Richie Freezor,718
200,Business Development,Update task D,3/22/2005,12,9,false,moderate,Susie Kropach,3805
201,Sales,Review task B,7/20/2000,31,8,true,medium,Obie Emsden,1653
202,Training,Review task B,7/14/2010,27,11,false,high,Germain Clinch,1967
203,Sales,Review task B,5/1/2008,32,5,true,low,Curtis Kloss,1574
204,Services,Complete task A,4/13/2015,11,14,true,low,Shayna Fucher,624
205,Research and Development,Update task D,8/19/2003,47,17,true,maximum,Roarke O'Noulane,2838
206,Accounting,Review task B,10/29/2010,49,8,true,essential,Abe Burgill,3257
207,Support,Assign task E,11/24/2010,43,16,true,medium,Rafferty Lorkins,2819
208,Accounting,Update task D,4/26/2012,31,7,false,minimal,Blanche Iannelli,2655
209,Legal,Assign task E,8/7/2012,41,10,true,moderate,Alfy Bilbey,549
210,Business Development,Review task B,5/8/2018,20,16,true,medium,Reyna Flounders,3449
211,Sales,Submit task C,4/9/2004,38,10,true,high,Marion Huban,1742
212,Research and Development,Update task D,6/15/2000,37,16,false,critical,Minor Alwood,732
213,Human Resources,Assign task E,11/14/2021,43,5,true,minimal,Ulrica Androck,1455
214,Services,Update task D,1/21/2015,28,5,false,moderate,Willard Woodford,894
215,Marketing,Submit task C,10/17/2005,47,14,false,minimal,Joey Spiaggia,3873
216,Research and Development,Update task D,8/23/2002,8,10,true,medium,Trev Blasdale,1490
217,Accounting,Complete task A,7/21/2017,16,17,true,moderate,Felike Giercke,3715
218,Legal,Submit task C,2/27/2009,20,15,false,critical,Arnold Inker,2303
219,Marketing,Submit task C,6/27/2012,11,17,true,medium,Tamarra Gritsunov,2725
220,Research and Development,Complete task A,7/21/2007,50,10,true,minimal,Keefe MacKellar,1561
221,Accounting,Update task D,3/27/2021,33,11,false,moderate,Merna Royl,939
222,Accounting,Assign task E,11/21/2009,40,6,false,low,Alec Cudde,3876
223,Accounting,Review task B,2/3/2006,21,7,true,high,Franky Millmore,1036
224,Support,Submit task C,12/27/2022,10,5,true,high,Cissy Geldart,3000
225,Marketing,Assign task E,8/1/2016,23,10,true,medium,Siffre Quig,2566
226,Support,Submit task C,11/1/2014,23,17,true,minimal,Kore Padillo,3554
227,Training,Complete task A,12/5/2008,25,10,false,high,Gal Stockey,3645
228,Business Development,Assign task E,7/9/2012,32,15,true,urgent,Ada Ganter,1627
229,Support,Update task D,8/2/2022,15,10,false,high,Nevsa Hardy,3196
230,Training,Submit task C,8/22/2018,23,5,false,low,Mignon Charrisson,1124
231,Support,Assign task E,10/6/2010,37,13,true,urgent,Garry Labusch,2193
232,Research and Development,Review task B,7/26/2005,39,8,false,high,Ilka Scarce,2747
233,Training,Update task D,9/2/2014,25,16,true,maximum,Bartie Wreight,3507
234,Engineering,Review task B,3/14/2021,36,14,true,high,Hetti Dunckley,1143
235,Research and Development,Submit task C,3/11/2000,47,7,false,maximum,Jamie Kiddell,3261
236,Marketing,Assign task E,8/16/2013,31,13,false,low,Alexina Trayhorn,3294
237,Engineering,Assign task E,9/27/2020,44,6,true,normal,Tricia Hinners,1859
238,Training,Assign task E,5/28/2013,19,13,false,maximum,Nicky Klaessen,3491
239,Human Resources,Review task B,9/7/2020,37,17,false,essential,Carlie Stammers,967
240,Legal,Submit task C,9/30/2014,39,5,true,urgent,Christabella Siddall,2259
241,Human Resources,Assign task E,11/8/2009,34,14,true,maximum,Willdon Mabbett,2420
242,Training,Submit task C,11/21/2010,47,17,false,medium,Ainslee McCoughan,3734
243,Legal,Complete task A,6/19/2001,8,16,true,maximum,Margaux Penner,2049
244,Human Resources,Assign task E,1/3/2001,38,9,false,maximum,Marjorie Bonifazio,793
245,Support,Review task B,1/12/2011,37,5,true,essential,Wye Bingell,2063
246,Support,Submit task C,1/16/2016,21,8,true,medium,Mercy Edeler,3417
247,Sales,Review task B,11/4/2018,50,6,false,medium,Pauly Corriea,1982
248,Legal,Assign task E,3/12/2013,48,5,true,high,Sybyl Sessuns,3042
249,Research and Development,Submit task C,5/6/2018,36,13,false,essential,Holden Sewart,1265
250,Legal,Update task D,4/30/2000,31,15,true,essential,Alexine Axe,1569
251,Accounting,Complete task A,2/4/2007,35,10,false,low,Lem Colam,1283
252,Marketing,Review task B,8/28/2008,25,7,false,moderate,Alister MacNamee,2487
253,Support,Review task B,8/24/2020,28,6,false,minimal,Ariadne Hanway,3200
254,Accounting,Update task D,8/10/2000,11,5,false,medium,Helenka Bronot,978
255,Human Resources,Update task D,1/20/2011,14,6,true,urgent,Huntley Jaquin,2248
256,Human Resources,Complete task A,6/20/2008,47,17,false,low,Elfie Dregan,909
257,Business Development,Complete task A,2/23/2001,20,10,false,urgent,Emalee Ainsworth,3791
258,Sales,Submit task C,6/16/2001,45,10,true,minimal,Marissa Peete,3715
259,Marketing,Assign task E,12/5/2005,9,14,false,normal,Filide De Antoni,2955
260,Services,Submit task C,5/22/2020,40,13,false,moderate,Keely Geyton,3362
261,Research and Development,Assign task E,2/24/2007,44,14,false,essential,Malory Bento,3527
262,Human Resources,Complete task A,4/11/2010,46,16,true,high,Marv Peach,585
263,Business Development,Update task D,7/23/2007,50,16,true,medium,Park Evelyn,1694
264,Accounting,Update task D,4/28/2003,18,14,true,medium,Cori Kemston,2262
265,Accounting,Update task D,8/15/2002,29,15,true,urgent,Bear Trevaskis,1114
266,Support,Review task B,3/15/2009,30,14,true,low,Brett Engel,3257
267,Support,Complete task A,7/8/2018,49,11,false,minimal,Raynor Rowbrey,3210
268,Business Development,Complete task A,8/26/2021,45,15,true,medium,Witty Edwardson,1140
269,Business Development,Complete task A,6/18/2002,50,17,false,minimal,Dianna Pouck,3339
270,Support,Review task B,1/29/2016,20,14,false,low,Malissa Churchlow,1702
271,Research and Development,Submit task C,11/25/2000,40,6,true,low,Aimee Gruczka,3441
272,Research and Development,Submit task C,5/22/2003,32,12,false,critical,Donnie Pavett,3180
273,Engineering,Assign task E,9/14/2008,38,6,false,moderate,Ursulina Beglin,3804
274,Research and Development,Complete task A,3/29/2017,29,16,true,low,Cooper Spooner,2354
275,Business Development,Update task D,5/28/2019,36,14,true,urgent,Wit Delahunty,2885
276,Product Management,Update task D,7/22/2019,12,10,false,high,Agatha Hamblen,608
277,Business Development,Assign task E,10/27/2020,16,16,true,medium,Gib Mudge,2328
278,Research and Development,Review task B,7/12/2004,23,6,false,medium,Theo Sainer,3469
279,Engineering,Complete task A,1/16/2014,48,7,true,medium,Cathi Minister,2402
280,Support,Submit task C,11/18/2011,8,14,true,medium,Diana Kassidy,1171
281,Engineering,Complete task A,10/25/2004,9,13,false,maximum,Vivian Waddams,918
282,Business Development,Update task D,10/25/2011,34,17,true,critical,Gregoor Caistor,3814
283,Sales,Update task D,5/18/2005,16,12,true,normal,Dre Dallinder,3422
284,Sales,Complete task A,4/1/2013,42,9,true,moderate,Mariquilla Flintoff,2173
285,Sales,Update task D,7/5/2009,31,5,false,moderate,Philippa Temby,1191
286,Accounting,Complete task A,12/1/2013,16,12,false,moderate,Dru Casazza,3731
287,Research and Development,Assign task E,8/21/2006,12,16,true,urgent,Lanie Paulillo,3443
288,Legal,Assign task E,6/12/2007,42,11,true,high,Vivyanne Elderfield,950
289,Legal,Complete task A,11/6/2004,38,14,true,essential,Nert Schuster,2570
290,Marketing,Submit task C,2/1/2020,27,7,true,minimal,Julita Stubley,1902
291,Marketing,Submit task C,1/12/2009,40,14,false,low,Rogerio Bett,3920
292,Human Resources,Complete task A,9/6/2007,45,5,true,moderate,Jerrilee Sisneros,3615
293,Human Resources,Assign task E,2/3/2018,42,9,false,medium,Seth Brasted,1458
294,Research and Development,Update task D,3/15/2014,27,12,true,urgent,Isobel Fullbrook,3507
295,Services,Submit task C,2/28/2014,35,15,false,high,Olympe Biggam,941
296,Services,Update task D,2/5/2010,44,5,true,urgent,Stephana Kemson,3109
297,Human Resources,Submit task C,10/25/2016,30,16,false,low,Grissel Rhymes,2587
298,Human Resources,Assign task E,3/29/2014,35,15,false,maximum,Wendie O'Duane,3411
299,Services,Submit task C,1/21/2003,18,6,false,minimal,Hagan Bletsor,3249
300,Human Resources,Submit task C,1/14/2005,32,12,false,urgent,Georgine Jorger,2533
301,Accounting,Assign task E,8/9/2017,36,7,false,critical,Gerry Domenge,3357
302,Sales,Assign task E,11/24/2000,20,15,true,critical,My Rowdell,2453
303,Engineering,Submit task C,4/1/2015,46,10,false,maximum,Roderigo Pheby,3501
304,Legal,Complete task A,8/31/2018,45,6,false,urgent,Cristiano Kuschel,3200
305,Sales,Assign task E,6/29/2008,21,5,true,critical,Amil Lissimore,2746
306,Research and Development,Review task B,9/4/2003,38,11,true,low,Maddie Pantling,1314
307,Marketing,Complete task A,5/22/2012,9,10,true,moderate,Vladimir Esparza,870
308,Training,Complete task A,2/26/2017,29,11,true,maximum,Val Seccombe,3442
309,Legal,Submit task C,6/24/2000,41,16,false,moderate,Agnesse Shegog,3460
310,Services,Assign task E,12/13/2003,41,14,true,high,Klement Konig,969
311,Training,Update task D,11/8/2011,22,17,false,low,Tracie Wicklin,3060
312,Sales,Review task B,4/15/2008,12,14,true,maximum,Trey Gatrill,3361
313,Training,Complete task A,1/5/2004,50,16,false,normal,Penrod Semour,3860
314,Product Management,Submit task C,3/29/2001,38,6,false,minimal,Elana Haugen,3005
315,Services,Assign task E,2/20/2017,13,11,false,urgent,Gladi Branni,717
316,Legal,Complete task A,2/5/2011,32,13,false,maximum,Lotte Saurin,2751
317,Business Development,Update task D,8/7/2019,33,8,false,moderate,Robbyn Fry,3064
318,Marketing,Submit task C,9/1/2002,47,6,false,maximum,Tori O'Fallowne,1625
319,Accounting,Assign task E,1/28/2018,21,5,true,normal,Claiborn Wasmuth,1192
320,Legal,Review task B,3/16/2020,43,15,true,maximum,Becka Orrobin,1361
321,Services,Submit task C,9/17/2003,34,17,false,normal,Gabi Gogan,502
322,Accounting,Review task B,1/21/2019,18,12,false,minimal,Alyson Galia,1042
323,Sales,Assign task E,3/12/2019,36,6,false,minimal,Hermione Clow,928
324,Services,Review task B,7/4/2011,12,8,true,medium,Iris Harragin,3377
325,Research and Development,Submit task C,8/17/2004,24,13,false,urgent,Paten O'Cleary,3918
326,Research and Development,Submit task C,7/17/2006,47,12,true,maximum,Clo Crawford,1774
327,Research and Development,Review task B,3/22/2003,37,13,false,urgent,Eveline Franchi,2189
328,Training,Review task B,4/10/2001,44,16,true,normal,Steven Heddan,3597
329,Accounting,Assign task E,2/5/2009,28,17,true,medium,Shirl Staff,2821
330,Research and Development,Review task B,11/14/2002,28,16,true,essential,Wilhelm Tombling,1784
331,Business Development,Update task D,3/17/2002,43,17,true,urgent,Lyndel Hebden,2536
332,Accounting,Complete task A,12/30/2000,44,11,false,critical,Cammy Simmance,2824
333,Engineering,Assign task E,6/25/2003,38,17,false,critical,Annice Wason,3194
334,Legal,Submit task C,2/15/2018,35,5,false,maximum,Heinrick Beamond,765
335,Legal,Complete task A,9/11/2009,36,9,false,medium,Fionnula Foggo,3762
336,Support,Update task D,12/6/2015,15,6,false,normal,April Elphey,3414
337,Training,Complete task A,1/3/2021,17,6,false,medium,Francis Giorgioni,672
338,Product Management,Review task B,1/27/2020,38,8,true,minimal,Ethelin Gogerty,3590
339,Training,Submit task C,5/14/2009,14,12,true,essential,Chrissy Gussin,3739
340,Engineering,Update task D,10/16/2011,38,14,true,essential,Candice Laugherane,954
341,Legal,Assign task E,9/25/2019,39,16,true,low,Arvie Itzchaki,3608
342,Support,Complete task A,10/23/2017,12,7,true,urgent,Susy Hourihan,3407
343,Accounting,Review task B,9/24/2015,50,16,true,low,Damiano Gittis,2468
344,Human Resources,Update task D,3/9/2021,28,7,false,maximum,Agna Stickel,3990
